北海道,札幌市,5517449,78420.61,70.36,35,10,129,15
青森県,青森市,1382637,9644.21,143.36,10,,22,8
岩手県,盛岡市,1340852,15278.89,87.76,13,,16,5
宮城県,仙台市,2340029,7285.75,321.18,13,5,21,1
秋田県,秋田市,1097626,11636.25,94.33,13,,9,3
山形県,山形市,1179964,9323.46,126.56,13,,19,3
福島県,福島市,2042816,13782.75,148.22,13,,31,15
茨城県,水戸市,2967404,6095.69,486.8,32,,10,2
栃木県,宇都宮市,2010732,6408.28,313.77,14,,13,
群馬県,前橋市,2006903,6363.16,315.39,12,,15,8
埼玉県,さいたま市,7170362,3797.25,1888.30,40,10,23,1
千葉県,千葉市,6183743,5156.60,1199.19,36,6,17,1
東京都,新宿区,12988797,2187.65,5937.33,26,23,5,8
神奈川県,横浜市,9005176,2415.85,3727.54,19,28,13,1
新潟県,新潟市,2383650,12583.73,189.42,20,8,6,4
富山県,富山市,1095217,4247.59,257.84,10,,4,1
石川県,金沢市,1166656,4185.58,278.73,10,,9,
福井県,福井市,808589,4189.59,193,9,,8,
山梨県,甲府市,869132,4465.37,194.64,13,,8,6
長野県,長野市,2160602,13562.23,159.31,19,,23,35
岐阜県,岐阜市,2086590,10621.17,196.46,21,,19,2
静岡県,静岡市,3787982,7780.38,486.86,23,10,12,
愛知県,名古屋市,7414098,5164.58,1435.57,37,16,18,2
三重県,津市,1862575,5777.22,322.4,14,,15,
滋賀県,大津市,1402132,4017.36,349.02,13,,6,
京都府,京都市,2631441,4613.13,570.42,15,11,10,1
大阪府,大阪市,8840372,1898.01,4657.71,33,31,9,1
兵庫県,神戸市,5599359,8395.89,666.92,29,9,12,
奈良県,奈良市,1400951,3691.09,379.55,12,,15,12
和歌山県,和歌山市,1005710,4726.29,212.79,9,,20,1
鳥取県,鳥取市,591150,3507.26,168.55,4,,14,1
島根県,松江市,720112,6707.86,107.35,8,,12,1
岡山県,岡山市,1943655,7113.21,273.25,15,4,10,2
広島県,広島市,2866571,8479.27,338.07,14,8,9,
山口県,山口市,1456800,6113.89,238.28,13,,6,
徳島県,徳島市,789269,4146.67,190.34,8,,15,1
香川県,高松市,1000169,1876.53,532.99,8,,9,
愛媛県,松山市,1437549,5678.00,253.18,11,,9,
高知県,高知市,767520,7105.16,108.02,11,,17,6
福岡県,福岡市,5066856,4977.20,1018.01,28,14,30,2
佐賀県,佐賀市,852825,2439.65,349.57,10,,10,
長崎県,長崎市,1432236,4105.05,348.9,13,,8,
熊本県,熊本市,1815985,7405.84,245.21,14,,23,8
大分県,大分市,1197220,6339.58,188.85,14,,3,1
宮崎県,宮崎市,1132768,7734.84,146.45,9,,14,3
鹿児島県,鹿児島市,1711746,9188.74,186.29,19,,20,4
沖縄県,那覇市,1385725,2275.96,608.85,11,,11,19
